H, 1000000.0
He, 96382.902362397042
Li, 0.0022387211385683399
Be, 3.0199517204020162e-05
B, 0.00070794578438413802
C, 288.40315031266118
N, 79.432823472428211
O, 575.43993733715661
F, 0.033884415613920277
Ne, 89.12509381337459
Na, 2.3442288153199229
Mg, 41.686938347033553
Al, 3.4673685045253171
Si, 40.738027780411301
P, 0.34673685045253166
S, 18.197008586099827
Cl, 0.21379620895022325
Ar, 4.1686938347033555
K, 0.15135612484362074
Ca, 2.5703957827688648
Sc, 0.001412537544622754
Ti, 0.10000000000000001
V, 0.011748975549395304
Cr, 0.52480746024977232
Mn, 0.38018939632056126
Fe, 34.673685045253166
Co, 0.095499258602143686
Ni, 1.9498445997580456
Cu, 0.021877616239495516
Zn, 0.050118723362727248
Ga, 0.0014791083881682072
Ge, 0.0050118723362727255
As, 0.00025118864315095795
Se, 0.0026915348039269166
Br, 0.00046773514128719813
Kr, 0.0022908676527677728
Rb, 0.00026915348039269167
Sr, 0.0009772372209558111
Y, 0.00019054607179632465
Zr, 0.00046773514128719813
Nb, 3.0902954325135907e-05
Mo, 0.0001071519305237606
Tc, 9.9999999999999995e-07
Ru, 7.7624711662869166e-05
Rh, 1.513561248436208e-05
Pd, 5.8884365535558901e-05
Ag, 1.9952623149688796e-05
Cd, 6.4565422903465559e-05
In, 7.4131024130091746e-06
Sn, 0.00015488166189124811
Sb, 1.3803842646028845e-05
Te, 0.00019952623149688788
I, 4.0738027780411281e-05
Xe, 0.000223872113856834
Cs, 1.513561248436208e-05
Ba, 0.00017782794100389227
La, 1.7782794100389229e-05
Ce, 4.7863009232263831e-05
Pr, 7.0794578438413784e-06
Nd, 3.4673685045253168e-05
Pm, 9.9999999999999995e-07
Sm, 1.0471285480508996e-05
Eu, 3.9810717055349725e-06
Gd, 1.3489628825916533e-05
Tb, 2.3988329190194905e-06
Dy, 1.6218100973589298e-05
Ho, 3.6307805477010141e-06
Er, 1.0471285480508996e-05
Tm, 1.5135612484362082e-06
Yb, 1.0232929922807542e-05
Lu, 1.4454397707459275e-06
Hf, 6.9183097091893642e-06
Ta, 8.7096358995608056e-07
W, 5.2480746024977256e-06
Re, 2.1379620895022322e-06
Os, 2.7542287033381663e-05
Ir, 2.6302679918953814e-05
Pt, 5.6234132519034907e-05
Au, 8.1283051616409932e-06
Hg, 1.6982436524617446e-05
Tl, 7.5857757502918374e-06
Pb, 0.00013489628825916531
Bi, 5.7543993733715693e-06
Po, 9.9999999999999995e-07
At, 9.9999999999999995e-07
Rn, 9.9999999999999995e-07
Fr, 9.9999999999999995e-07
Ra, 9.9999999999999995e-07
Ac, 9.9999999999999995e-07
Th, 1.4454397707459275e-06
Pa, 9.9999999999999995e-07
U, 3.801893963205612e-07