Element,Charge
H,1
He,0
Li,1
Be,2.00
B,3.000
C,4.0
N,-3.000
O,-2.00
F,-1.000
Ne,0.000
Na,1.000
Mg,2.000
Al,3.00
Si,4
P,5.000
S,-2.000
Cl,-1.000
Ar,0.000
K,1.000
Ca,2.000
Sc,3.000
Ti,4.000
V,3.000
Cr,3.00
Mn,2.000
Fe,2.000
Co,2.00
Ni,2.000
Cu,2.000
Zn,2.000
Ga,0.000
Ge,0.000
As,0.000
Se,-2.000
Br,-1.000
Kr,0.000
Rb,1.000
Sr,2.000
Y,3.000
Zr,4.000
Nb,0.000
Mo,0.000
Tc,0.000
Ru,2.000
Rh,0.000
Pd,0.000
Ag,0.000
Cd,0.000
In,0.000
Sn,0.000
Sb,0.000
Te,0.000
I,0.000
Xe,0.000
Cs,0.000
Ba,0.000
La,0.00
Ce,0.000
Pr,0.000
Nd,0.00
Pm,0.000
Sm,0.000
Eu,0.000
Gd,0.000
Tb,0.000
Dy,0.000
Ho,0.000
Er,0.000
Tm,0.000
Yb,0.000
Lu,0.00
Hf,0.00
Ta,0.000
W,0.000
Re,0.000
Os,0.000
Ir,0.000
Pt,0.000
Au,0
Hg,0
Tl,0
Pb,0
Bi,0
Po,0
At,0
Rn,0
Fr,0
Ra,0
Ac,0
Th,0
Pa,0
U,0
Np,0
Pu,0
Am,0
Cm,0
Bk,0
Cf,0
Es,0
Fm,0
Md,0
No,0
Lr,0
Rf,0
Db,0
Sg,0
Bh,0
Hs,0
Mt,0
Ds,0
Rg,0
Cn,0
Uut,0
Fl,0
Uup,0
Lv,0
Uus,0
Uuo,0